Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
alwaysLow,Default tag table,Bool,%M0.0,,True,True,True,,
alwaysHigh,Default tag table,Bool,%M0.1,,True,True,True,,
uncondJump,Default tag table,Bool,%M0.2,,True,True,True,,
flagFirstScanRestart,Default tag table,Bool,%M0.3,,True,True,True,,
AlarmMsgEvent,Default tag table,Bool,%M1.2,,True,True,True,,
HEART_BEAT_CPU1,Default tag table,Bool,%M1.3,CPU 1 Heartbeat,True,True,True,,
HEART_BEAT_CPU2,Default tag table,Bool,%M1.4,CPU 2 Heartbeat,True,True,True,,
HMI_Ack_Cancel,Default tag table,Bool,%M6.5,,True,True,True,,
commsEnable,Default tag table,Bool,%M1.6,,True,True,True,,
pulseCOMMS,Default tag table,Bool,%M2.1,,True,True,True,,
edgeBLK,Default tag table,Bool,%M2.2,,True,True,True,,
edgeSFC,Default tag table,Bool,%M2.3,,True,True,True,,
rcpPCM1Update,Default tag table,Bool,%M2.4,,True,True,True,,
rcpPCM2Update,Default tag table,Bool,%M2.5,,True,True,True,,
rcpPCS1Update,Default tag table,Bool,%M2.6,,True,True,True,,
rcpPCS2Update,Default tag table,Bool,%M2.7,,True,True,True,,
X-RCVBufferLoaded,Default tag table,Bool,%M3.0,,True,True,True,,
X-RCV_EN_DT,Default tag table,Bool,%M3.1,,True,True,True,,
X-SEND_REQ,Default tag table,Bool,%M3.2,Multiplexing GD packet initiate,True,True,True,,
X-Send-Busy,Default tag table,Bool,%M3.3,,True,True,True,,
SetTimeandDate,Default tag table,Bool,%M3.7,,True,True,True,,
xGroup1,Default tag table,Bool,%M4.4,Communications transfer group 1,True,True,True,,
xGroup2,Default tag table,Bool,%M4.5,Communications transfer group 2,True,True,True,,
xGroup3,Default tag table,Bool,%M4.6,Communications transfer group 3,True,True,True,,
xGroup4,Default tag table,Bool,%M4.7,Communications transfer group 4,True,True,True,,
COMMAND_START_HMI_CRP1,Default tag table,Bool,%M5.0,Start Command from CRP1,True,True,True,,
COMMAND_START_HMI_CRP2,Default tag table,Bool,%M5.1,Start Command from CRP2,True,True,True,,
hmiCIPSIP_SELECTED,Default tag table,Bool,%M5.2,,True,True,True,,
timeManagement,Default tag table,Bool,%M6.0,,True,True,True,,
enableEvents,Default tag table,Bool,%M6.1,,True,True,True,,
timePLCStatus,Default tag table,Int,%MW30,,True,True,True,,
timeOBMax,Default tag table,Word,%MW40,,True,True,True,,
timerHeartRate,Default tag table,Timer,%T1,,True,True,True,,
timerPCSync,Default tag table,Timer,%T2,,True,True,True,,
timerCIPSIPSelect,Default tag table,Timer,%T3,,True,True,True,,
timerCOMMS,Default tag table,Timer,%T4,,True,True,True,,
clockReservedW,Default tag table,Word,%MW0,Reserved for Clock Byte,True,True,True,,
clockReservedDW,Default tag table,DWord,%MD0,Reserved for Clock Byte,True,True,True,,
System_Byte,Default tag table,Byte,%MB100,,True,True,True,,
FirstScan,Default tag table,Bool,%M100.0,,True,True,True,,
DiagStatusUpdate,Default tag table,Bool,%M100.1,,True,True,True,,
AlwaysTRUE,Default tag table,Bool,%M100.2,,True,True,True,,
AlwaysFALSE,Default tag table,Bool,%M100.3,,True,True,True,,
System_Byte(1),Default tag table,Byte,%MB1,,True,True,True,,
Clock_Byte,Default tag table,Byte,%MB110,,True,True,True,,
Clock_10Hz,Default tag table,Bool,%M110.0,,True,True,True,,
Clock_5Hz,Default tag table,Bool,%M110.1,,True,True,True,,
Clock_2.5Hz,Default tag table,Bool,%M110.2,,True,True,True,,
Clock_2Hz,Default tag table,Bool,%M110.3,,True,True,True,,
Clock_1.25Hz,Default tag table,Bool,%M110.4,,True,True,True,,
Clock_1Hz,Default tag table,Bool,%M110.5,,True,True,True,,
Clock_0.625Hz,Default tag table,Bool,%M110.6,,True,True,True,,
Clock_0.5Hz,Default tag table,Bool,%M110.7,,True,True,True,,
AG2101-BRK,Default tag table,Bool,%I0.2,M2 Agitator Motor breaker fault,True,True,True,,
AG2101-FLP,Default tag table,Bool,%I0.3,M2 Agitator Pulse counter fault,True,True,True,,
AG2101-THM,Default tag table,Bool,%I0.4,M2 Agitator Thermistor module alarm,True,True,True,,
HE2101-FLT,Default tag table,Bool,%I0.0,M2 Electric Heating Element Heater controller fault,True,True,True,,
HE4101-FLT,Default tag table,Bool,%I8.0,S2 Electric Heating Element Heater controller fault,True,True,True,,
ASL2000-DI,Default tag table,Bool,%I0.5,Instrument Air Switch Alarm input,True,True,True,,
ASL4000-DI,Default tag table,Bool,%I8.2,Instrument Air Switch Alarm input,True,True,True,,
BAV2139-ZSC,Default tag table,Bool,%I0.6,M2 Vent line drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2139-ZSO,Default tag table,Bool,%I0.7,M2 Vent line drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2141-ZSC,Default tag table,Bool,%I1.0,M2 Vent Filter drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2141-ZSO,Default tag table,Bool,%I1.1,M2 Vent Filter drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2143-ZSC,Default tag table,Bool,%I1.2,M2 SIP Condensate Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2143-ZSO,Default tag table,Bool,%I1.3,M2 SIP Condensate Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2145-ZSC,Default tag table,Bool,%I1.4,M2 CIP Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2145-ZSO,Default tag table,Bool,%I1.5,M2 CIP Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2147-ZSC,Default tag table,Bool,%I1.6,SMFL2 Condenste Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2147-ZSO,Default tag table,Bool,%I1.7,SMFL2 Condenste Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2149-ZSC,Default tag table,Bool,%I2.0,SMFL2 CIP Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2149-ZSO,Default tag table,Bool,%I2.1,SMFL2 CIP Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2167-ZSC,Default tag table,Bool,%I2.2,MFL2 PCW Supply Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2167-ZSO,Default tag table,Bool,%I2.3,MFL2 PCW Supply Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2169-ZSC,Default tag table,Bool,%I2.4,MFL2 PCW Return Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2169-ZSO,Default tag table,Bool,%I2.5,MFL2 PCW Return Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV4139-ZSC,Default tag table,Bool,%I8.3,S2 Vent line drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV4139-ZSO,Default tag table,Bool,%I8.4,S2 Vent line drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV4141-ZSC,Default tag table,Bool,%I8.5,S2 Vent Filter drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV4141-ZSO,Default tag table,Bool,%I8.6,S2 Vent Filter drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV4143-ZSC,Default tag table,Bool,%I8.7,S2 SIP Drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
