ID,Name,"Alarm text [en-US], Alarm text",FieldInfo [Alarm text],Class,Trigger tag,Trigger bit,Acknowledgement tag,Acknowledgement bit,PLC acknowledgement tag,PLC acknowledgement bit,Group,Report,"Info text [en-US], Info text"
1,alarm_AG1101_BRK,": <field ref=""0"" /> : AG1101 : AG1101 - BRK - Vessel agitator motor breaker fault",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG1101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG1101,0,<No value>,0,<No value>,0,<No value>,False,<No value>
2,alarm_AG1101_FLP,": <field ref=""0"" /> : AG1101 : AG1101 - FLP - Vessel agitator motor pulse counter fault",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG1101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG1101,1,<No value>,0,<No value>,0,<No value>,False,<No value>
3,alarm_AG1101_FLT,": <field ref=""0"" /> : AG1101 : AG1101 - FLT - Vessel agitator motor inverter fault",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG1101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG1101,2,<No value>,0,<No value>,0,<No value>,False,<No value>
9,alarm_AG1101_SALL,": <field ref=""0"" /> : AG1101 : AG1101 - SALL - Vessel agitator speed low low",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG1101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG1101,6,<No value>,0,<No value>,0,<No value>,False,<No value>
10,alarm_AG1101_SDQ,": <field ref=""0"" /> : AG1101 : AG1101 - SDQ - Vessel agitator speed process value data quality bad",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG1101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG1101,7,<No value>,0,<No value>,0,<No value>,False,<No value>
11,alarm_AG1101_THM,": <field ref=""0"" /> : AG1101 : AG1101 - THM - Vessel agitator motor thermistor trip",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG1101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG1101,5,<No value>,0,<No value>,0,<No value>,False,<No value>
12,alarm_AG2101_BRK,": <field ref=""0"" /> : AG2101 : AG2101 - BRK - Vessel agitator motor breaker fault",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG2101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG2101,0,<No value>,0,<No value>,0,<No value>,False,<No value>
13,alarm_AG2101_FLP,": <field ref=""0"" /> : AG2101 : AG2101 - FLP - Vessel agitator motor pulse counter fault",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG2101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG2101,1,<No value>,0,<No value>,0,<No value>,False,<No value>
14,alarm_AG2101_FLT,": <field ref=""0"" /> : AG2101 : AG2101 - FLT - Vessel agitator motor inverter fault",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG2101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG2101,2,<No value>,0,<No value>,0,<No value>,False,<No value>
20,alarm_AG2101_SALL,": <field ref=""0"" /> : AG2101 : AG2101 - SALL - Vessel agitator speed low low",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG2101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG2101,6,<No value>,0,<No value>,0,<No value>,False,<No value>
21,alarm_AG2101_SDQ,": <field ref=""0"" /> : AG2101 : AG2101 - SDQ - Vessel agitator speed process value data quality bad",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG2101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG2101,7,<No value>,0,<No value>,0,<No value>,False,<No value>
22,alarm_AG2101_THM,": <field ref=""0"" /> : AG2101 : AG2101 - THM - Vessel agitator motor thermistor trip",<ref id = 0; type = AlarmTag; Tag = idbSIC1_AG2101_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_AG2101,5,<No value>,0,<No value>,0,<No value>,False,<No value>
23,alarm_ASL1000_DIA,": <field ref=""0"" /> : ASL1000 : ASL1000 - DIA - Input fault",<ref id = 0; type = AlarmTag; Tag = idbDI1_ASL1000_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_ASL1000,0,<No value>,0,<No value>,0,<No value>,False,<No value>
24,alarm_ASL2000_DIA,": <field ref=""0"" /> : ASL2000 : ASL2000 - DIA - Input fault",<ref id = 0; type = AlarmTag; Tag = idbDI1_ASL2000_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_ASL2000,0,<No value>,0,<No value>,0,<No value>,False,<No value>
25,alarm_ASL3000_DIA,": <field ref=""0"" /> : ASL3000 : ASL3000 - DIA - Input fault",<ref id = 0; type = AlarmTag; Tag = idbDI1_ASL3000_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_ASL3000,0,<No value>,0,<No value>,0,<No value>,False,<No value>
26,alarm_ASL4000_DIA,": <field ref=""0"" /> : ASL4000 : ASL4000 - DIA - Input fault",<ref id = 0; type = AlarmTag; Tag = idbDI1_ASL4000_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_ASL4000,0,<No value>,0,<No value>,0,<No value>,False,<No value>
27,alarm_BAV1139_FAULT_C,": <field ref=""0"" /> : BAV1139 : BAV1139 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1139_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1139,0,<No value>,0,<No value>,0,<No value>,False,<No value>
28,alarm_BAV1139_FAULT_O,": <field ref=""0"" /> : BAV1139 : BAV1139 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1139_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1139,1,<No value>,0,<No value>,0,<No value>,False,<No value>
29,alarm_BAV1141_FAULT_C,": <field ref=""0"" /> : BAV1141 : BAV1141 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1141_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1141,0,<No value>,0,<No value>,0,<No value>,False,<No value>
30,alarm_BAV1141_FAULT_O,": <field ref=""0"" /> : BAV1141 : BAV1141 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1141_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1141,1,<No value>,0,<No value>,0,<No value>,False,<No value>
31,alarm_BAV1143_FAULT_C,": <field ref=""0"" /> : BAV1143 : BAV1143 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1143_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1143,0,<No value>,0,<No value>,0,<No value>,False,<No value>
32,alarm_BAV1143_FAULT_O,": <field ref=""0"" /> : BAV1143 : BAV1143 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1143_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1143,1,<No value>,0,<No value>,0,<No value>,False,<No value>
33,alarm_BAV1145_FAULT_C,": <field ref=""0"" /> : BAV1145 : BAV1145 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1145_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1145,0,<No value>,0,<No value>,0,<No value>,False,<No value>
34,alarm_BAV1145_FAULT_O,": <field ref=""0"" /> : BAV1145 : BAV1145 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1145_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1145,1,<No value>,0,<No value>,0,<No value>,False,<No value>
35,alarm_BAV1147_FAULT_C,": <field ref=""0"" /> : BAV1147 : BAV1147 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1147_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1147,0,<No value>,0,<No value>,0,<No value>,False,<No value>
36,alarm_BAV1147_FAULT_O,": <field ref=""0"" /> : BAV1147 : BAV1147 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1147_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1147,1,<No value>,0,<No value>,0,<No value>,False,<No value>
37,alarm_BAV1149_FAULT_C,": <field ref=""0"" /> : BAV1149 : BAV1149 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1149_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1149,0,<No value>,0,<No value>,0,<No value>,False,<No value>
38,alarm_BAV1149_FAULT_O,": <field ref=""0"" /> : BAV1149 : BAV1149 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1149_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1149,1,<No value>,0,<No value>,0,<No value>,False,<No value>
39,alarm_BAV1167_FAULT_C,": <field ref=""0"" /> : BAV1167 : BAV1167 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1167_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1167,0,<No value>,0,<No value>,0,<No value>,False,<No value>
40,alarm_BAV1167_FAULT_O,": <field ref=""0"" /> : BAV1167 : BAV1167 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1167_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1167,1,<No value>,0,<No value>,0,<No value>,False,<No value>
41,alarm_BAV1169_FAULT_C,": <field ref=""0"" /> : BAV1169 : BAV1169 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1169_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1169,0,<No value>,0,<No value>,0,<No value>,False,<No value>
42,alarm_BAV1169_FAULT_O,": <field ref=""0"" /> : BAV1169 : BAV1169 - FAULT_O - Valve failed to open",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV1169_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV1169,1,<No value>,0,<No value>,0,<No value>,False,<No value>
43,alarm_BAV2139_FAULT_C,": <field ref=""0"" /> : BAV2139 : BAV2139 - FAULT_C - Valve failed to close",<ref id = 0; type = AlarmTag; Tag = idbPOS4_BAV2139_p_write_mc_SERIALNUM; DisplayType = Decimal; Length = 6;>,alarmBlock,dbEVENT_alarmBlock_alarm_BAV2139,0,<No value>,0,<No value>,0,<No value>,False,<No value>
