Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
AG1101-BRK,Default tag table,Bool,%I0.2,M1 Agitator Motor breaker fault,True,True,True,,
AG1101-FLP,Default tag table,Bool,%I0.3,M1 Agitator Pulse counter fault,True,True,True,,
AG1101-THM,Default tag table,Bool,%I0.4,M1 Agitator Thermistor module alarm,True,True,True,,
HE1101-FLT,Default tag table,Bool,%I0.0,M1 Electric Heating Element Heater controller fault,True,True,True,,
HE3101-FLT,Default tag table,Bool,%I8.0,S1 Electric Heating Element Heater controller fault,True,True,True,,
VP1000-BRK,Default tag table,Bool,%I0.5,Mx Vacuum Pump 1 Motor breaker fault,True,True,True,,
VP1000-RUN,Default tag table,Bool,%I0.6,Mx Vacuum Pump 1 Motor Running / Stopped,True,True,True,,
VP1001-BRK,Default tag table,Bool,%I0.7,Mx Vacuum Pump 2 Motor breaker fault,True,True,True,,
VP1001-RUN,Default tag table,Bool,%I1.0,Mx Vacuum Pump 2 Motor Running / Stopped,True,True,True,,
VP3000-BRK,Default tag table,Bool,%I8.2,Sy Vacuum Pump 1 Motor breaker fault,True,True,True,,
VP3000-RUN,Default tag table,Bool,%I8.3,Sy Vacuum Pump 1 Motor Running / Stopped,True,True,True,,
VP3001-BRK,Default tag table,Bool,%I8.4,Sy Vacuum Pump 2 Motor breaker fault,True,True,True,,
VP3001-RUN,Default tag table,Bool,%I8.5,Sy Vacuum Pump 2 Motor Running / Stopped,True,True,True,,
ASL1000-DI,Default tag table,Bool,%I1.1,Instrument Air Switch Alarm input,True,True,True,,
ASL3000-DI,Default tag table,Bool,%I8.6,Instrument Air Switch Alarm input,True,True,True,,
BAV1139-ZSC,Default tag table,Bool,%I1.2,M1 Vent line drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1139-ZSO,Default tag table,Bool,%I1.3,M1 Vent line drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV1141-ZSC,Default tag table,Bool,%I1.4,M1 Vent Filter AF1101 Drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1141-ZSO,Default tag table,Bool,%I1.5,M1 Vent Filter AF1101 Drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV1143-ZSC,Default tag table,Bool,%I1.6,M1 SIP Condensate Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1143-ZSO,Default tag table,Bool,%I1.7,M1 SIP Condensate Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV1145-ZSC,Default tag table,Bool,%I2.0,M1 CIP Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1145-ZSO,Default tag table,Bool,%I2.1,M1 CIP Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV1147-ZSC,Default tag table,Bool,%I2.2,SMFL1 Filtration Line SIP Condenste Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1147-ZSO,Default tag table,Bool,%I2.3,SMFL1 Filtration Line SIP Condenste Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV1149-ZSC,Default tag table,Bool,%I2.4,SMFL1 Filtration Line CIP Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1149-ZSO,Default tag table,Bool,%I2.5,SMFL1 Filtration Line CIP Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV1167-ZSC,Default tag table,Bool,%I2.6,Manufacturing Filtration Line Cooling Water Supply Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1167-ZSO,Default tag table,Bool,%I2.7,Manufacturing Filtration Line Cooling Water Supply Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV1169-ZSC,Default tag table,Bool,%I3.0,Manufacturing Filtration Line Cooling Water Return Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV1169-ZSO,Default tag table,Bool,%I3.1,Manufacturing Filtration Line Cooling Water Return Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV3139-ZSC,Default tag table,Bool,%I8.7,S1 Vent line drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV3139-ZSO,Default tag table,Bool,%I9.0,S1 Vent line drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV3141-ZSC,Default tag table,Bool,%I9.1,S1 Vent Filter AF3101 Drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV3141-ZSO,Default tag table,Bool,%I9.2,S1 Vent Filter AF3101 Drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV3143-ZSC,Default tag table,Bool,%I9.3,S1 SIP Drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV3143-ZSO,Default tag table,Bool,%I9.4,S1 SIP Drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV3145-ZSC,Default tag table,Bool,%I9.5,S1 CIP Drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV3145-ZSO,Default tag table,Bool,%I9.6,S1 CIP Drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BV1151-ZSC,Default tag table,Bool,%I7.0,Manufacturing Filtration Line Cooling Water Return Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BV1151-ZSO,Default tag table,Bool,%I7.1,Manufacturing Filtration Line Cooling Water Return Valve Valve OPENED feedback ZSO switch,True,True,True,,
BV1153-ZSC,Default tag table,Bool,%I7.2,Manufacturing Filtration Line Cooling Water Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BV1153-ZSO,Default tag table,Bool,%I7.3,Manufacturing Filtration Line Cooling Water Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV1101-ZSC,Default tag table,Bool,%I3.2,M1 Vent Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1103-ZSC,Default tag table,Bool,%I3.3,M1 HP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1105-ZSC,Default tag table,Bool,%I3.4,M1 LP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1107-ZSC,Default tag table,Bool,%I3.5,M1 Vacuum valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1109-ZSC,Default tag table,Bool,%I3.6,M1 PS Supply for WFI Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV1111-ZSC,Default tag table,Bool,%I3.7,M1 WFI Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1111-ZSO,Default tag table,Bool,%I4.0,M1 WFI Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV1113-ZSC,Default tag table,Bool,%I4.1,M1 PW Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1113-ZSO,Default tag table,Bool,%I4.2,M1 PW Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV1115-ZSC,Default tag table,Bool,%I4.3,M1 PS Supply for PW Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV1117-ZSC,Default tag table,Bool,%I4.4,M1 Spray Ball 1 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1119-ZSC,Default tag table,Bool,%I4.5,M1 Spray Ball 2 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1121-ZSC,Default tag table,Bool,%I4.6,M1 Outlet Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1135-ZSC,Default tag table,Bool,%I4.7,SMFL1 Filtration Line filter outlet drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1137-ZSC,Default tag table,Bool,%I5.0,SMFL1 Filtration Line filter outlet valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1171-ZSC,Default tag table,Bool,%I5.1,MMFL1 Filtration Line filter inlet drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1173-ZSC,Default tag table,Bool,%I5.2,MMFL1 Inline Heat Exchanger inlet valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3101-ZSC,Default tag table,Bool,%I9.7,S1 Vent Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3103-ZSC,Default tag table,Bool,%I10.0,S1 HP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3105-ZSC,Default tag table,Bool,%I10.1,S1 LP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3107-ZSC,Default tag table,Bool,%I10.2,S1 Vacuum valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3109-ZSC,Default tag table,Bool,%I10.3,S1 PS Supply for WFI Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV3111-ZSC,Default tag table,Bool,%I10.4,S1 WFI Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3111-ZSO,Default tag table,Bool,%I10.5,S1 WFI Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV3113-ZSC,Default tag table,Bool,%I10.6,S1 PW Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3113-ZSO,Default tag table,Bool,%I10.7,S1 PW Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV3115-ZSC,Default tag table,Bool,%I11.0,S1 PS Supply for PW Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV3117-ZSC,Default tag table,Bool,%I11.1,S1 Spray Ball 1 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3119-ZSC,Default tag table,Bool,%I11.2,S1 Spray Ball 2 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3121-ZSC,Default tag table,Bool,%I11.3,S1 Outlet Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3123-ZSC,Default tag table,Bool,%I11.4,S1 Transfer line valve from vessel Valve CLOSED feedback ZSC switch,True,True,True,,
DV3125-ZSC,Default tag table,Bool,%I11.5,S1 Transfer line valve from SMFL Valve CLOSED feedback ZSC switch,True,True,True,,
DV3127-ZSC,Default tag table,Bool,%I11.6,S1 Transfer line valve to drain Valve CLOSED feedback ZSC switch,True,True,True,,
DV3129-ZSC,Default tag table,Bool,%I11.7,S1 Transfer line valve to filling Valve CLOSED feedback ZSC switch,True,True,True,,
ES1100-DI,Default tag table,Bool,%I5.3,M1 Emergency Stop mounted on M1 HMI Alarm input,True,True,True,,
ES1101-DI,Default tag table,Bool,%I5.4,M1 Emergency Stop mounted on M1/M2 Shared HMI Alarm input,True,True,True,,
ES1200-DI,Default tag table,Bool,%I5.5,M2 Emergency Stop mounted on M2 HMI Feed to M1 Alarm input,True,True,True,,
ES1201-DI,Default tag table,Bool,%I5.6,M2 Emergency Stop mounted on M1/M2 Shared HMI Feed to M1 Alarm input,True,True,True,,
ES3100-DI,Default tag table,Bool,%I12.0,S1 Emergency Stop mounted on S1 HMI Alarm input,True,True,True,,
