Name,Parent,DefaultEntry,Value,Text [en-US],FieldInfos
Text_list_entry_1,DI1_Title,,1,ASL2000,
Text_list_entry_2,DI1_Title,,2,ASL3000,
Text_list_entry_3,DI1_Title,,3,ASL4000,
Text_list_entry_4,DI1_Title,,4,ES1100,
Text_list_entry_5,DI1_Title,,5,ES1101,
Text_list_entry_6,DI1_Title,,6,ES1200,
Text_list_entry_7,DI1_Title,,7,ES1201,
Text_list_entry_8,DI1_Title,,8,ES2100,
Text_list_entry_9,DI1_Title,,9,ES2101,
Text_list_entry_10,DI1_Title,,10,ES3100,
Text_list_entry_11,DI1_Title,,11,ES3400,
Text_list_entry_12,DI1_Title,,12,ES4100,
Text_list_entry_13,DI1_Title,,13,RD1101,
Text_list_entry_14,DI1_Title,,14,RD2101,
Text_list_entry_15,DI1_Title,,15,RD3101,
Text_list_entry_16,DI1_Title,,16,RD4101,
Text_list_entry_17,DI1_Title,,17,RD4101,
Text_list_entry_0,DI1_Title,,0,ASL1000,
Text_list_entry_1,DI2_Title,,1,PH2001,
Text_list_entry_2,DI2_Title,,2,PH3001,
Text_list_entry_3,DI2_Title,,3,PH3001,
Text_list_entry_0,DI2_Title,,0,PH1001,
Text_list_entry_1,DI3_Title,,1,PB84101,
Text_list_entry_2,DI3_Title,,2,PB84101,
Text_list_entry_0,DI3_Title,,0,PB74101,
Text_list_entry_1,EMA1_Title,,1,EA2010,
Text_list_entry_2,EMA1_Title,,2,EA2010,
Text_list_entry_0,EMA1_Title,,0,EA1010,
Text_list_entry_1,EMC1_Title,,1,EC2001,
Text_list_entry_2,EMC1_Title,,2,EC3001,
Text_list_entry_3,EMC1_Title,,3,EC4001,
Text_list_entry_4,EMC1_Title,,4,EC4001,
Text_list_entry_0,EMC1_Title,,0,EC1001,
Text_list_entry_1,EMC2_Title,,1,EC2002,
Text_list_entry_2,EMC2_Title,,2,EC2002,
Text_list_entry_0,EMC2_Title,,0,EC1002,
Text_list_entry_1,EMC3_Title,,1,EC4002,
Text_list_entry_2,EMC3_Title,,2,EC4002,
Text_list_entry_0,EMC3_Title,,0,EC3002,
Text_list_entry_1,EMG1_Title,,1,EG2005,
Text_list_entry_2,EMG1_Title,,2,EG3005,
Text_list_entry_3,EMG1_Title,,3,EG4005,
Text_list_entry_4,EMG1_Title,,4,EG4005,
Text_list_entry_0,EMG1_Title,,0,EG1005,
Text_list_entry_1,EMM1_Title,,1,EM2009,
Text_list_entry_2,EMM1_Title,,2,EM2009,
Text_list_entry_0,EMM1_Title,,0,EM1009,
Text_list_entry_1,EMT1_Title,,1,ET2003,
Text_list_entry_2,EMT1_Title,,2,ET2003,
Text_list_entry_0,EMT1_Title,,0,ET1003,
Text_list_entry_1,EMV1_Title,,1,EV2004,
Text_list_entry_2,EMV1_Title,,2,EV3004,
Text_list_entry_3,EMV1_Title,,3,EV4004,
Text_list_entry_4,EMV1_Title,,4,EV4004,
Text_list_entry_0,EMV1_Title,,0,EV1004,
Text_list_entry_1,EMV2_Title,,1,EV2008,
Text_list_entry_2,EMV2_Title,,2,EV3008,
Text_list_entry_3,EMV2_Title,,3,EV4008,
Text_list_entry_4,EMV2_Title,,4,EV4008,
Text_list_entry_0,EMV2_Title,,0,EV1008,
Text_list_entry_1,EMX1_Title,,1,EX2014,
Text_list_entry_2,EMX1_Title,,2,EX2014,
Text_list_entry_0,EMX1_Title,,0,EX1014,
Text_list_entry_1,EMX2_Title,,1,EX4007,
Text_list_entry_2,EMX2_Title,,2,EX4007,
Text_list_entry_0,EMX2_Title,,0,EX3007,
Text_list_entry_1,EMX4_Title,,1,EX1011,
Text_list_entry_2,EMX4_Title,,2,EX2006,
Text_list_entry_3,EMX4_Title,,3,EX2011,
Text_list_entry_4,EMX4_Title,,4,EX3006,
Text_list_entry_5,EMX4_Title,,5,EX4006,
Text_list_entry_6,EMX4_Title,,6,EX4006,
Text_list_entry_0,EMX4_Title,,0,EX1006,
Text_list_entry_1,EMX5_Title,,1,EX8402,
Text_list_entry_2,EMX5_Title,,2,EX8402,
Text_list_entry_0,EMX5_Title,,0,EX7402,
Text_list_entry_1,EMX6_Title,,1,EX2015,
Text_list_entry_2,EMX6_Title,,2,EX2015,
Text_list_entry_0,EMX6_Title,,0,EX1015,
Text_list_entry_1,HE1_Title,,1,HE2101,
Text_list_entry_2,HE1_Title,,2,HE3101,
Text_list_entry_3,HE1_Title,,3,HE4101,
Text_list_entry_4,HE1_Title,,4,HE4101,
Text_list_entry_0,HE1_Title,,0,HE1101,
Text_list_entry_1,MI1_Title,,1,MI2101,
Text_list_entry_2,MI1_Title,,2,MI2101,
Text_list_entry_0,MI1_Title,,0,MI1101,
Text_list_entry_1,MOD1_Title,,1,TCV2157,
Text_list_entry_2,MOD1_Title,,2,TCV2157,
Text_list_entry_0,MOD1_Title,,0,TCV1157,
Text_list_entry_1,MOT1_Title,,1,VP1001,
Text_list_entry_2,MOT1_Title,,2,VP3000,
Text_list_entry_3,MOT1_Title,,3,VP3001,
Text_list_entry_4,MOT1_Title,,4,VP3001,
Text_list_entry_0,MOT1_Title,,0,VP1000,
Text_list_entry_1,MX_Title,,1,M2,
Text_list_entry_2,MX_Title,,2,M2,
Text_list_entry_0,MX_Title,,0,M1,
Text_list_entry_1,PC1_Title,,1,PC2103,
Text_list_entry_2,PC1_Title,,2,PC3103,
Text_list_entry_3,PC1_Title,,3,PC4103,
Text_list_entry_4,PC1_Title,,4,PC4103,
Text_list_entry_0,PC1_Title,,0,PC1103,
Text_list_entry_1,PCMX_Title,,1,PCM2,
Text_list_entry_2,PCMX_Title,,2,PCM2,
Text_list_entry_0,PCMX_Title,,0,PCM1,
Text_list_entry_1,PCSY_Title,,1,PCS2,
Text_list_entry_2,PCSY_Title,,2,PCS2,
Text_list_entry_0,PCSY_Title,,0,PCS1,
Text_list_entry_1,PI1_Title,,1,PI2103,
Text_list_entry_2,PI1_Title,,2,PI3103,
Text_list_entry_3,PI1_Title,,3,PI4103,
Text_list_entry_4,PI1_Title,,4,PI4103,
Text_list_entry_0,PI1_Title,,0,PI1103,
Text_list_entry_1,POS2_Title,,1,DV1103,
Text_list_entry_2,POS2_Title,,2,DV1105,
Text_list_entry_3,POS2_Title,,3,DV1107,
Text_list_entry_4,POS2_Title,,4,DV1109,
Text_list_entry_5,POS2_Title,,5,DV1115,
Text_list_entry_6,POS2_Title,,6,DV1117,
Text_list_entry_7,POS2_Title,,7,DV1119,
Text_list_entry_8,POS2_Title,,8,DV1121,
Text_list_entry_9,POS2_Title,,9,DV1135,
Text_list_entry_10,POS2_Title,,10,DV1137,
Text_list_entry_11,POS2_Title,,11,DV1171,
Text_list_entry_12,POS2_Title,,12,DV1173,
Text_list_entry_13,POS2_Title,,13,DV2101,
Text_list_entry_14,POS2_Title,,14,DV2103,
Text_list_entry_15,POS2_Title,,15,DV2105,
Text_list_entry_16,POS2_Title,,16,DV2107,
Text_list_entry_17,POS2_Title,,17,DV2109,
Text_list_entry_18,POS2_Title,,18,DV2115,
Text_list_entry_19,POS2_Title,,19,DV2117,
Text_list_entry_20,POS2_Title,,20,DV2119,
Text_list_entry_21,POS2_Title,,21,DV2121,
Text_list_entry_22,POS2_Title,,22,DV2135,
Text_list_entry_23,POS2_Title,,23,DV2137,
Text_list_entry_24,POS2_Title,,24,DV2171,
Text_list_entry_25,POS2_Title,,25,DV2173,
Text_list_entry_26,POS2_Title,,26,DV3101,
Text_list_entry_27,POS2_Title,,27,DV3103,
Text_list_entry_28,POS2_Title,,28,DV3105,
Text_list_entry_29,POS2_Title,,29,DV3107,
Text_list_entry_30,POS2_Title,,30,DV3109,
Text_list_entry_31,POS2_Title,,31,DV3115,
Text_list_entry_32,POS2_Title,,32,DV3117,
Text_list_entry_33,POS2_Title,,33,DV3119,
Text_list_entry_34,POS2_Title,,34,DV3121,
Text_list_entry_35,POS2_Title,,35,DV3123,
Text_list_entry_36,POS2_Title,,36,DV3125,
Text_list_entry_37,POS2_Title,,37,DV3127,
Text_list_entry_38,POS2_Title,,38,DV3129,
Text_list_entry_39,POS2_Title,,39,DV4101,
Text_list_entry_40,POS2_Title,,40,DV4103,
Text_list_entry_41,POS2_Title,,41,DV4105,
Text_list_entry_42,POS2_Title,,42,DV4107,
Text_list_entry_43,POS2_Title,,43,DV4109,
Text_list_entry_44,POS2_Title,,44,DV4115,
Text_list_entry_45,POS2_Title,,45,DV4117,
Text_list_entry_46,POS2_Title,,46,DV4119,
Text_list_entry_47,POS2_Title,,47,DV4121,
Text_list_entry_48,POS2_Title,,48,DV4123,
Text_list_entry_49,POS2_Title,,49,DV4125,
Text_list_entry_50,POS2_Title,,50,DV4127,
Text_list_entry_51,POS2_Title,,51,DV4129,
Text_list_entry_52,POS2_Title,,52,DV4129,
Text_list_entry_0,POS2_Title,,0,DV1101,
Text_list_entry_1,POS4_Title,,1,BAV1141,
Text_list_entry_2,POS4_Title,,2,BAV1143,
Text_list_entry_3,POS4_Title,,3,BAV1145,
Text_list_entry_4,POS4_Title,,4,BAV1147,
Text_list_entry_5,POS4_Title,,5,BAV1149,
Text_list_entry_6,POS4_Title,,6,BAV1167,
Text_list_entry_7,POS4_Title,,7,BAV1169,
Text_list_entry_8,POS4_Title,,8,BAV2139,
Text_list_entry_9,POS4_Title,,9,BAV2141,
Text_list_entry_10,POS4_Title,,10,BAV2143,
Text_list_entry_11,POS4_Title,,11,BAV2145,
Text_list_entry_12,POS4_Title,,12,BAV2147,
Text_list_entry_13,POS4_Title,,13,BAV2149,
Text_list_entry_14,POS4_Title,,14,BAV2167,
Text_list_entry_15,POS4_Title,,15,BAV2169,
Text_list_entry_16,POS4_Title,,16,BAV3139,
Text_list_entry_17,POS4_Title,,17,BAV3141,
Text_list_entry_18,POS4_Title,,18,BAV3143,
Text_list_entry_19,POS4_Title,,19,BAV3145,
Text_list_entry_20,POS4_Title,,20,BAV4139,
Text_list_entry_21,POS4_Title,,21,BAV4141,
Text_list_entry_22,POS4_Title,,22,BAV4143,
Text_list_entry_23,POS4_Title,,23,BAV4145,
Text_list_entry_24,POS4_Title,,24,BV1151,
Text_list_entry_25,POS4_Title,,25,BV1153,
Text_list_entry_26,POS4_Title,,26,BV2151,
Text_list_entry_27,POS4_Title,,27,BV2153,
Text_list_entry_28,POS4_Title,,28,DV1111,
Text_list_entry_29,POS4_Title,,29,DV1113,
Text_list_entry_30,POS4_Title,,30,DV2111,
Text_list_entry_31,POS4_Title,,31,DV2113,
Text_list_entry_32,POS4_Title,,32,DV3111,
Text_list_entry_33,POS4_Title,,33,DV3113,
Text_list_entry_34,POS4_Title,,34,DV4111,
Text_list_entry_35,POS4_Title,,35,DV4113,
Text_list_entry_36,POS4_Title,,36,DV4113,
Text_list_entry_0,POS4_Title,,0,BAV1139,
Text_list_entry_1,SIC1_Title,,1,AG2101,
