Location,Alarm name,"""Alarm text"" - English (United States) / [en-US] / Event text","FieldInfo / ""Alarm text"" / Event text"
ifbEventPrompt,Program_Alarm_0,"<field ref=""0"" />",<ref id = 0; type = TextList; SD = 1; TextList = PROMPT; >
ifbEventPrompt,Program_Alarm_1,"<field ref=""0"" />",<ref id = 0; type = TextList; SD = 1; TextList = LOG MSG; >
ifbEventPrompt,Program_Alarm_2,,
ifbEventPrompt,Program_Alarm_3,,
ifbEventPrompt,Program_Alarm_4,,
ifbEventPrompt,Program_Alarm_5,,
ifbEventPrompt,Program_Alarm_6,,
ifbEventPrompt,Program_Alarm_7,,
ifbEventPrompt,Program_Alarm_8,,
ifbEventPrompt,Program_Alarm_9,,
ifbEventPrompt,Program_Alarm_10,,
ifbEventPrompt,Program_Alarm_11,,
ifbEventPrompt,Program_Alarm_12,,
ifbEventPrompt,Program_Alarm_13,,
ifbEventPrompt,Program_Alarm_14,,
ifbEventPrompt,Program_Alarm_15,,
ifbEventPrompt,Program_Alarm_16,,
ifbEventPrompt,Program_Alarm_17,,
ifbEventPrompt,Program_Alarm_18,,
ifbEventPrompt,Program_Alarm_19,,
ifbEventPrompt,Program_Alarm_20,,
ifbEventPrompt,Program_Alarm_21,,
ifbEventPrompt,Program_Alarm_22,,
ifbEventPrompt,Program_Alarm_23,,
ifbEventPrompt,Program_Alarm_24,,
ifbEventPrompt,Program_Alarm_25,,
ifbEventPrompt,Program_Alarm_26,,
ifbEventPrompt,Program_Alarm_27,,
ifbEventPrompt,Program_Alarm_28,,
ifbEventPrompt,Program_Alarm_29,,
ifbEventPrompt,Program_Alarm_30,,
ifbEventPrompt,Program_Alarm_31,,
ifbEventPrompt,Program_Alarm_32,,
ifbEventPrompt,Program_Alarm_33,,
ifbEventPrompt,Program_Alarm_34,,
ifbEventPrompt,Program_Alarm_35,,
ifbEventPrompt,Program_Alarm_36,,
ifbEventPrompt,Program_Alarm_37,,
ifbEventPrompt,Program_Alarm_38,,
ifbEventPrompt,Program_Alarm_39,,
Block_1,Program_Alarm_1,"<field ref=""0"" />",<ref id = 0; type = TextList; SD = 1; TextList = PROMPT; >
