1,UO_MX_CIP : Unit Operation Commenced
2,UO_MX_CIP : Open tank path to outlet drain line.
3,UO_MX_CIP : Commence PW Preflush of vessel
4,UO_MX_CIP : Close MX outlet to flood vessel.
5,MX_UO_CIP : Wait to reach vessel flood mass
6,UO_MX_CIP : PW Flood mixing.
7,UO_MX_CIP : Disable Agitator
8,UO_MX_CIP : Wait to empty vessel
9,UO_MX_CIP : Commence vessel washing with PW
10,UO_MX_CIP : Divert Wash to MMFLx
11,UO_MX_CIP : Filtration line PW wash completed
12,MX_UO_CIP : Steaming PW inlet line
13,UO_MX_CIP : Stop Steaming PW inlet line
14,MX_UO_CIP : Wait for OPER to setup for WFI
15,UO_MX_CIP : Commence WFI Rinse
16,UO_MX_CIP : Mx_WFI_Rinse Completed
17,UO_MX_CIP : WFI Rinse complete. Wait to empty vessel.
18,UO_MX_CIP : Close HPCA supply valve
19,UO_MX_CIP : Unit Operation Completed
