1,UO_MX_FILL : Mx Filtration to FLz Unit Operation Commenced
2,UO_MX_FILL : Incorrect Hygiene Status
3,UO_MX_FILL : Connect Pre Filter to to Flow Plate FPx1.
4,UO_MX_FILL : Start filtration.
5,UO_MX_FILL : Enable HEX Temperature control
6,UO_MX_FILL : Open filter outlet valve.
7,UO_MX_FILL : Enable HPCA pressure control and HEX filling
8,UO_MX_FILL : Check for throttle mass or pause
9,UO_MX_FILL : Wait for OPER to RESUME or ABORT
10,UO_MX_FILL : Log operator abort
11,UO_MX_FILL : Log operator repeat
12,UO_MX_FILL : Enable HPCA pressure control for new set point.
13,UO_MX_FILL : Check for filling completion or pause
14,UO_MX_FILL : Wait for OPER to RESUME or ABORT
15,UO_MX_FILL : Log operator abort
16,UO_MX_FILL : Log operator repeat
17,UO_MX_FILL : Filtration completed.
18,UO_MX_FILL : Disable HPCA control
19,UO_MX_FILL : Filling Unit Operation Completed
