1,UO_MX_SIP : Filtration Unit Operation Commenced
2,UO_MX_FILTER : Start filtration.
3,UO_MX_FILTER : Filtration Unit Operation Commenced
4,UO_MX_FILTER : Open filter outlet valve.
5,UO_MX_FILTER : Enable HPCA pressure control and wait for complete
6,UO_MX_FILTER : Automatic abort
7,UO_MX_FILTER : Mass reduced slow
8,UO_MX_FILTER : High temperature
9,UO_MX_FILTER : Enable HPCA pressure control for new set point.
10,UO_MX_FILTER : Filtration completed.
11,UO_MX_FILTER : Disable HPCA control
12,UO_MX_FILTER : Filtration Unit Operation Completed
