1,UO_MX_MAKE : Manufacturing Unit Operation Commenced
2,UO_MX_MAKE : Tare vessel
3,UO_MX_MAKE : Manufacturing operations selection
4,UO_MX_MAKE : Measure vessel mass
5,UO_MX_MAKE : Reset command
6,UO_MX_MAKE : Charging with WFI
7,UO_MX_MAKE : Reset command
8,UO_MX_MAKE : MIXING vessel contents
9,UO_MX_MAKE : Reset MIX command.
10,UO_MX_MAKE : Disabling manway alarm
11,UO_MX_MAKE : Reset command
12,UO_MX_MAKE : Isolate WFI and vessel.
13,UO_MX_MAKE : Manufacturing Unit Operation Completed
