1,UO_MX_SIP : Unit operation started
2,UO_MX_SIP : Vacuum Operation Commenced
3,UO_MX_SIP : Evacuation failed
4,UO_MX_SIP : Vacuum operation finished.
5,UO_MX_SIP : Log Operator Repeat
6,UO_MX_SIP : Log Operator Abort
7,UO_MX_SIP : Initiate MX and MMFLx SIP Operations
8,UO_MX_SIP : Positive pressure.
9,UO_MX_SIP : Wait for free steaming timer
10,UO_MX_SIP : Free steam complete.
11,UO_MX_SIP : SIP Started
12,UO_MX_SIP : Mixing Vessel SIP
13,UO_MX_SIP : Monitor MX SIP Temperatures
14,UO_MX_SIP : Start MX SIP timer
15,UO_MX_SIP : Low MX temperature during SIP
16,UO_MX_SIP : MX complete
17,UO_MX_SIP : Automatic MX SIP ABORT
18,UO_MX_SIP : Start HPCA pressure control
19,UO_MX_SIP : Wait for HPCA blow complete or to pulse drain
20,UO_MX_SIP : Pulse SIP drain valve opened
21,UO_MX_SIP : Wait for time to pulse drain valve
22,UO_MX_SIP : Disable HPCA and wait for reduced pressure
23,UO_MX_SIP : Pressure reduced. Wait to close vessel outlet valve
24,UO_MX_SIP : Start LPCA blanketing and open vent valve
25,UO_MX_SIP : Unit Operation Completed
