1,SY_UO_CIP : Unit Operation Commenced
2,SY_UO_CIP : Commence Flush with PW
3,Sy_UO_CIP : Set Flag for Sy_PW_Wash_Complete
4,Sy_UO_CIP : Set Flag for Sy_PW_Wash_Complete
5,Sy_UO_CIP : Set Flag for FLz_PW_Wash_Complete
6,Sy_UO_CIP : Set Flag for FLz_PW_Wash_Complete
7,Sy_UO_CIP : Set Flag for FLz_PW_Wash_Complete
8,SY_UO_CIP : Steaming PW inlet line
9,SY_UO_CIP : Steaming PW inlet line
10,SY_UO_CIP : Stop Steaming PW inlet line
11,SY_UO_CIP : Stop Steaming PW inlet line
12,SY_UO_CIP : Wait for OPER connect WFI
13,SY_UO_CIP : Commence WFI Rinse of vessel
14,SY_UO_CIP : Commence WFI Rinse of vessel
15,Sy_UO_CIP : Set Flag for Sy_WFI_Wash_Complete
16,Sy_UO_CIP : Set Flag for Sy_WFI_Wash_Complete
17,Sy_UO_CIP : Set Flag for FLz_WFI_Wash_Complete
18,Sy_UO_CIP : SMFLx Wash Complete
19,SY_UO_CIP : WFI Line Wash Complete. Wait for vessel to drain
20,SY_UO_CIP : Close CA supply valve
21,SY_UO_CIP : Wait for Steaming to be ready
22,SY_UO_CIP : Commence Filling Line steaming
23,SY_UO_CIP : Filling Line steaming complete
24,SY_UO_CIP : Open vent valve
25,SY_UO_CIP : Unit Operation Completed
