1,MX_UO_SIP : Connect Sterile Filter to to Spool Piece SPx2.
2,SY_UO_SIP : Unit Operation Commenced
3,SY_UO_SIP : Open SY steam supply
4,SY_UO_SIP : Positive pressure. Open SY VENT valve for free steaming
5,SY_UO_SIP : Wait for free steaming timer
6,SY_UO_SIP : Free steam complete. Wait for SIP to be complete
7,SY_UO_SIP : SIP Complete
8,SY_UO_SIP : Open Filling Transfer Line path
9,SY_UO_SIP : Start SY cooling
10,SY_UO_SIP : Enable HPCA pressure control
11,SY_UO_SIP : Wait for HPCA blow complete or to pulse drain
12,SY_UO_SIP : Wait for time to pulse drain valve
13,SY_UO_SIP : Pulse SIP drain valve opened
14,SY_UO_SIP : Finish drain pulsing and open VENT drain valve
15,SY_UO_SIP : Close VENT filter line SIP drain valve
16,SY_UO_SIP : Disable HPCA,Cooling and wait for reduced pressure
17,SY_UO_SIP : Pressure reduced. Wait to close vessel outlet valve
18,SY_UO_SIP : Close outlet valve and start LPCA blanketing
19,SY_UO_SIP : Wait for OPER to isolate vessel SY
20,SY_UO_SIP : Unit Operation Completed
